,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
area_0,area_1,,,,,,,,,,,,,,,,,,,,,,,
avellaneda,00034,21535.0,21836.0,22180.0,16450.0,15881.0,16665.0,5236.0,5521.0,6723.0,5678.0,5700.0,6311.0,3311.0,2435.0,1677.0,845.0,512.0,376.0,633.0,664.0,693.0,1113.0,890.0
avellaneda,00037,21659.0,19933.0,21380.0,15695.0,14556.0,16521.0,5047.0,5008.0,6492.0,5299.0,5245.0,6037.0,2906.0,2149.0,1587.0,687.0,445.0,245.0,640.0,628.0,627.0,1000.0,778.0
avellaneda,00038,35989.0,38254.0,37898.0,28414.0,28467.0,29617.0,9696.0,9920.0,11901.0,10217.0,10226.0,11027.0,5060.0,3959.0,2713.0,1368.0,771.0,504.0,1142.0,1042.0,1234.0,1772.0,1593.0
avellaneda,00039,52805.0,54798.0,55825.0,40900.0,39914.0,42718.0,10605.0,10817.0,13756.0,17870.0,17582.0,19754.0,7100.0,5375.0,3718.0,2331.0,1294.0,854.0,1678.0,1511.0,1405.0,2052.0,1799.0
avellaneda,00040,68924.0,70598.0,70575.0,53204.0,52041.0,53401.0,18665.0,18693.0,22551.0,17554.0,16830.0,19010.0,9756.0,7915.0,5297.0,2468.0,1393.0,1032.0,2205.0,2142.0,2243.0,3254.0,2820.0
azul,00060,48073.0,49766.0,49881.0,36006.0,36096.0,37196.0,11079.0,15549.0,18614.0,10427.0,8565.0,9792.0,5019.0,5308.0,3982.0,4914.0,2620.0,2213.0,1442.0,1439.0,879.0,1456.0,1007.0
azul,00061,76.0,74.0,74.0,53.0,40.0,46.0,19.0,25.0,33.0,8.0,6.0,7.0,6.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0
azul,00062,2559.0,2952.0,2947.0,1533.0,1919.0,2231.0,517.0,1098.0,1304.0,325.0,416.0,449.0,172.0,351.0,262.0,150.0,121.0,98.0,71.0,72.0,37.0,45.0,23.0
azul,00063,26.0,23.0,21.0,17.0,9.0,10.0,8.0,6.0,7.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
azul,00064,8.0,9.0,9.0,6.0,5.0,6.0,3.0,2.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
azul,00065,46.0,49.0,47.0,36.0,30.0,34.0,11.0,11.0,18.0,6.0,3.0,6.0,8.0,10.0,7.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0
azul,00066,106.0,105.0,103.0,82.0,76.0,83.0,27.0,42.0,48.0,18.0,11.0,18.0,13.0,6.0,5.0,12.0,8.0,8.0,0.0,1.0,3.0,0.0,6.0
azul,00067,2865.0,3236.0,3230.0,2051.0,2350.0,2527.0,581.0,906.0,1191.0,698.0,607.0,692.0,312.0,521.0,389.0,210.0,111.0,122.0,50.0,69.0,35.0,53.0,37.0
azul,00068,29.0,31.0,30.0,24.0,0.0,18.0,14.0,9.0,10.0,3.0,5.0,6.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
azul,00069,20.0,21.0,20.0,12.0,11.0,12.0,7.0,7.0,10.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
azul,0062A,90.0,104.0,102.0,75.0,60.0,71.0,22.0,20.0,36.0,21.0,23.0,23.0,9.0,11.0,5.0,4.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0
azul,0062B,80.0,93.0,90.0,0.0,56.0,65.0,34.0,38.0,43.0,9.0,0.0,10.0,4.0,8.0,5.0,5.0,4.0,0.0,0.0,4.0,2.0,1.0,1.0
bahia blanca,00072,17809.0,10296.0,10646.0,9250.0,7098.0,8055.0,4033.0,3959.0,4936.0,1413.0,1118.0,1250.0,1014.0,770.0,608.0,630.0,324.0,209.0,477.0,507.0,305.0,468.0,443.0
bahia blanca,00073,21391.0,27619.0,29580.0,16576.0,15104.0,17484.0,7572.0,7302.0,8892.0,3396.0,2863.0,3095.0,2246.0,1633.0,1320.0,1395.0,609.0,487.0,1020.0,1242.0,715.0,960.0,949.0
